STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20121205 0000,20121205 0000,31, ,DEG F
MHP,D,32,TEMP MN,20121206 0000,20121206 0000,24, ,DEG F
MHP,D,32,TEMP MN,20121207 0000,20121207 0000,22, ,DEG F
MHP,D,32,TEMP MN,20121208 0000,20121208 0000,23, ,DEG F
MHP,D,32,TEMP MN,20121209 0000,20121209 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121210 0000,20121210 0000,26, ,DEG F
MHP,D,32,TEMP MN,20121211 0000,20121211 0000,25, ,DEG F
MHP,D,32,TEMP MN,20121212 0000,20121212 0000,17, ,DEG F
MHP,D,32,TEMP MN,20121213 0000,20121213 0000,6, ,DEG F
MHP,D,32,TEMP MN,20121214 0000,20121214 0000,8, ,DEG F
MHP,D,32,TEMP MN,20121215 0000,20121215 0000,3, ,DEG F
MHP,D,32,TEMP MN,20121216 0000,20121216 0000,15, ,DEG F
MHP,D,32,TEMP MN,20121217 0000,20121217 0000,25, ,DEG F
MHP,D,32,TEMP MN,20121218 0000,20121218 0000,2, ,DEG F
MHP,D,32,TEMP MN,20121219 0000,20121219 0000,-2, ,DEG F
MHP,D,32,TEMP MN,20121220 0000,20121220 0000,13, ,DEG F
MHP,D,32,TEMP MN,20121221 0000,20121221 0000,17, ,DEG F
MHP,D,32,TEMP MN,20121222 0000,20121222 0000,17, ,DEG F
