STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20121018 0000,20121018 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121019 0000,20121019 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121020 0000,20121020 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121021 0000,20121021 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121022 0000,20121022 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121023 0000,20121023 0500,0.60, ,INCHES
CAP,D,3,SNOW WC,20121024 0000,20121024 0500,1.20, ,INCHES
CAP,D,3,SNOW WC,20121025 0000,20121025 0500,1.44, ,INCHES
CAP,D,3,SNOW WC,20121026 0000,20121026 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20121027 0000,20121027 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20121028 0000,20121028 0500,1.56, ,INCHES
CAP,D,3,SNOW WC,20121029 0000,20121029 0500,1.44, ,INCHES
CAP,D,3,SNOW WC,20121030 0000,20121030 0500,1.20, ,INCHES
CAP,D,3,SNOW WC,20121031 0000,20121031 0500,1.08, ,INCHES
CAP,D,3,SNOW WC,20121101 0000,20121101 0500,0.96, ,INCHES
CAP,D,3,SNOW WC,20121102 0000,20121102 0500,0.36, ,INCHES
CAP,D,3,SNOW WC,20121103 0000,20121103 0500,0.12, ,INCHES
CAP,D,3,SNOW WC,20121104 0000,20121104 0500,0.00, ,INCHES
CAP,D,3,SNOW WC,20121105 0000,20121105 0500,0.12, ,INCHES
CAP,D,3,SNOW WC,20121106 0000,20121106 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20121107 0000,20121107 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121108 0000,20121108 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20121109 0000,20121109 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20121110 0000,20121110 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20121111 0000,20121111 0500,0.00, ,INCHES
CAP,D,3,SNOW WC,20121112 0000,20121112 0500,0.24, ,INCHES
CAP,D,3,SNOW WC,20121113 0000,20121113 0500,0.36, ,INCHES
CAP,D,3,SNOW WC,20121114 0000,20121114 0500,0.36, ,INCHES
CAP,D,3,SNOW WC,20121115 0000,20121115 0500,0.36, ,INCHES
CAP,D,3,SNOW WC,20121116 0000,20121116 0500,0.48, ,INCHES
CAP,D,3,SNOW WC,20121117 0000,20121117 0400,0.60, ,INCHES
CAP,D,3,SNOW WC,20121118 0000,20121118 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20121119 0000,20121119 0500,2.04, ,INCHES
CAP,D,3,SNOW WC,20121120 0000,20121120 0500,2.16, ,INCHES
CAP,D,3,SNOW WC,20121121 0000,20121121 0500,2.28, ,INCHES
CAP,D,3,SNOW WC,20121122 0000,20121122 0500,2.16, ,INCHES
CAP,D,3,SNOW WC,20121123 0000,20121123 0500,2.04, ,INCHES
CAP,D,3,SNOW WC,20121124 0000,20121124 0500,2.04, ,INCHES
CAP,D,3,SNOW WC,20121125 0000,20121125 0500,2.04, ,INCHES
CAP,D,3,SNOW WC,20121126 0000,20121126 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20121127 0000,20121127 0500,1.44, ,INCHES
CAP,D,3,SNOW WC,20121128 0000,20121128 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20121129 0000,20121129 0500,2.64, ,INCHES
CAP,D,3,SNOW WC,20121130 0000,20121130 0500,3.60, ,INCHES
CAP,D,3,SNOW WC,20121201 0000,20121201 0500,6.00, ,INCHES
